"Table 1. Number of Votes Cast, Citizen Voting-Age Population and Voting Rates for Congressional Districts: 2018",,,,,,,,
"[Table with column headings in rows 3 and 4, and row headings in columns A, B, C, and D. Columns E, F, and G are in persons, columns H and I are in percent.]",,,,,,,,
Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1",Citizen voting- age population2,,Voting rate3,
,,,,,Estimate,Margin of error (MOE),Estimate,Margin of error (MOE)
1,AL,Alabama,1,242617,544464,3424,44.5607055746569,0.280231302505997
2,AL,Alabama,2,226230,516295,5674,43.8179722832877,0.481552551807347
3,AL,Alabama,3,231915,543854,4099,42.6428784195758,0.321397210725381
4,AL,Alabama,4,230969,515701,4678,44.787386489458,0.406273003150439
5,AL,Alabama,5,260673,551968,2121,47.2261073105687,0.181471704167119
6,AL,Alabama,6,278328,535753,7635,51.9508056884422,0.740349380089811
7,AL,Alabama,7,189163,504177,9052,37.519164896455,0.673619543618037
8,AK,Alaska,At-large,282166,532244,2539,53.0144069261467,0.252898255659972
9,AZ,Arizona,1,266089,568661,9203,46.7922013290871,0.757267737424562
10,AZ,Arizona,2,294152,550044,9439,53.477903585895,0.917704641714595
11,AZ,Arizona,3,179518,500787,12277,35.8471765441196,0.878808328555166
12,AZ,Arizona,4,277035,633528,10386,43.7289275296435,0.716888032293565
13,AZ,Arizona,5,313064,587681,10348,53.2710773361739,0.938007368410289
14,AZ,Arizona,6,313699,577899,11084,54.2826687708406,1.04113192903258
15,AZ,Arizona,7,132051,454957,12175,29.0249408185829,0.776729788675075
16,AZ,Arizona,8,304417,599423,9645,50.7850049130581,0.817154784495165
17,AZ,Arizona,9,261245,562791,12216,46.4195411795853,1.00758739043413
18,AR,Arkansas,1,201245,548710,3198,36.6760219423739,0.213755751073813
19,AR,Arkansas,2,253453,570220,3398,44.4482831187963,0.264871919676037
20,AR,Arkansas,3,229568,573113,5357,40.0563239710144,0.374414343266903
21,AR,Arkansas,4,204892,532069,4667,38.5085393059923,0.337774523494257
22,CA,California,1,291594,553702,4675,52.6626235773033,0.444639472539187
23,CA,California,2,315657,534951,6691,59.0067127643466,0.738037530738784
24,CA,California,3,232251,504299,7222,46.0542257668566,0.659536541790164
25,CA,California,4,340654,573118,5649,59.438719426017,0.585864213019954
26,CA,California,5,261018,508369,9829,51.3442007675527,0.99270834638673
27,CA,California,6,201939,506434,10206,39.8746924574574,0.803581732705171
28,CA,California,7,281617,537436,8063,52.4000997328054,0.786143846235849
29,CA,California,8,170785,477512,10385,35.7655933254033,0.777835293530453
30,CA,California,9,200763,482967,8819,41.5686786053706,0.759046014781057
31,CA,California,10,221900,493409,7043,44.9728318697065,0.641949487865731
32,CA,California,11,275681,508963,9040,54.1652340150463,0.962061516251709
33,CA,California,12,317072,571300,7542,55.5000875196919,0.732682758749373
34,CA,California,13,294837,536892,6882,54.9155137346058,0.703919159759426
35,CA,California,14,266823,511049,8400,52.2108447526558,0.858178170630035
36,CA,California,15,243929,503361,8070,48.4600515335912,0.776922756979744
37,CA,California,16,142959,423147,10984,33.7847131138824,0.876979604825
38,CA,California,17,211162,438374,13412,48.1693713587029,1.47373614462291
39,CA,California,18,302238,491580,9611,61.4829732698645,1.20206854651668
40,CA,California,19,220319,482363,9857,45.6749377543468,0.933359029288309
41,CA,California,20,225721,434889,8953,51.9031293042592,1.06852258084484
42,CA,California,21,113616,354669,11267,32.0343757136936,1.01765677622286
43,CA,California,22,222379,483064,10845,46.035100939006,1.03350833364424
44,CA,California,23,205774,490446,10566,41.9565048955441,0.903896516081931
45,CA,California,24,284431,508333,5576,55.9536760351974,0.613766364906982
46,CA,California,25,245022,482964,10876,50.7329738862524,1.14246988178597
47,CA,California,26,255426,480928,6034,53.1110686007053,0.66636209149115
48,CA,California,27,202636,471963,11108,42.9347215777508,1.01050058433745
49,CA,California,28,250934,502971,13353,49.8903515312016,1.32450153984253
50,CA,California,29,154692,402898,11545,38.3948294605583,1.10019981762666
51,CA,California,30,260993,529846,14610,49.2582750459568,1.35825013007823
52,CA,California,31,187495,482081,9659,38.8928416593892,0.779258999189016
53,CA,California,32,177031,449452,11398,39.3881882826197,0.998875452874389
54,CA,California,33,312860,517251,10427,60.4851416430321,1.21928922691671
55,CA,California,34,151906,425520,11922,35.6989095694679,1.00019364515698
56,CA,California,35,149024,450565,12666,33.0749170485945,0.929781273151484
57,CA,California,36,207008,536333,9648,38.5969164679406,0.694313141430215
58,CA,California,37,236378,468463,13452,50.4582005409179,1.44891637904472
59,CA,California,38,202156,481296,10991,42.0024267810246,0.95917828685516
60,CA,California,39,244393,486713,10190,50.2129591771742,1.05127673601364
61,CA,California,40,121449,340435,9624,35.6746515487538,1.00851218736383
62,CA,California,41,166248,478613,8532,34.7353707483917,0.619210475321978
63,CA,California,42,231932,538265,9226,43.0888131310786,0.738553296140991
64,CA,California,43,196052,454185,11440,43.1656703766087,1.08725578587669
65,CA,California,44,143322,395819,8661,36.2089743039116,0.792296293119276
66,CA,California,45,305289,532802,12285,57.2987714010083,1.32115759073987
67,CA,California,46,147916,408633,10145,36.1977618058258,0.898670184542371
68,CA,California,47,221036,491712,10923,44.9523298190811,0.998581077162694
69,CA,California,48,294736,529832,8764,55.6281991272705,0.920151174620255
70,CA,California,49,295030,519302,10212,56.8127987182795,1.11721560962806
71,CA,California,50,259810,513522,11367,50.5937428191976,1.11991126889563
72,CA,California,51,153828,445034,11226,34.5654489319917,0.871914796870664
73,CA,California,52,296007,546843,12471,54.1301616734602,1.23446262680463
74,CA,California,53,268794,563962,15636,47.6617218890634,1.3214342162369
75,CO,Colorado,1,369715,619349,5507,59.6941304498756,0.530775986378383
76,CO,Colorado,2,430765,619285,6451,69.5584423972807,0.724579978369988
77,CO,Colorado,3,336201,565901,5796,59.4098614421957,0.608480205758545
78,CO,Colorado,4,369621,598599,5986,61.7476808347491,0.617477839884144
79,CO,Colorado,5,322716,603967,3639,53.4327206618905,0.321940884996398
80,CO,Colorado,6,346822,567801,9080,61.081611339184,0.976787696675051
81,CO,Colorado,7,338067,576138,8222,58.6781291982129,0.837388921174626
82,CT,Connecticut,1,274140,523004,7034,52.4164251133835,0.704960448194544
83,CT,Connecticut,2,289114,548572,5593,52.7030180176896,0.53733690340181
84,CT,Connecticut,3,270239,535024,7312,50.5096967612668,0.690299692571516
85,CT,Connecticut,4,275651,496370,6476,55.5333722827729,0.724528313361479
86,CT,Connecticut,5,270664,511395,9390,52.9266027239218,0.971813959028981
87,DE,Delaware,At-large,353814,720867,3971,49.0817307492228,0.270373803774016
88,DC,District of Columbia,At-large,228769,526393,4612,43.4597344569552,0.380773101685389
89,FL,Florida,1,322388,601423,2752,53.6042020341756,0.245282877439092
90,FL,Florida,2,295568,573718,6050,51.5179931604028,0.543270140766783
91,FL,Florida,3,306496,579993,6726,52.8447757128103,0.612824571062689
