,CD116,"$1 under $10,000","$10,000 under $25,000","$100,000 under $200,000","$200,000 under $500,000","$25,000 under $50,000","$50,000 under $75,000","$500,000 or more","$75,000 under $100,000",Under $1
0,Indiana 01,14.39768977,20.81270627,14.99587459,2.746346063,21.84700613,13.7553041,0.474422442,10.04243281,0.928217822
1,Indiana 02,14.94211932,19.78925497,10.3650935,2.154942119,26.5123182,15.16176907,0.566933808,9.400415554,1.107153458
2,Indiana 03,14.83052045,19.33112826,11.35894609,2.270093009,25.62406355,15.01427643,0.590846126,9.897379357,1.082746728
3,Indiana 04,14.52979057,18.57341765,13.96124616,2.633869003,23.90207113,14.70383477,0.379996519,10.27150896,1.044265243
4,Indiana 05,13.24971013,15.64772847,17.53452092,6.975334668,20.83377253,13.38937493,1.807736903,9.465584484,1.096236956
5,Indiana 06,15.30683722,19.91167961,11.93848028,2.18059997,24.60179686,14.65813918,0.365463682,9.88883813,1.148165068
6,Indiana 07,14.18172549,25.05806379,7.471817821,1.365207047,30.49056818,13.46230103,0.263411318,6.874185691,0.832719651
7,Indiana 08,15.90152418,20.09529918,11.77189285,2.132013806,24.13024222,14.42927395,0.510094994,9.951434069,1.078224747
8,Indiana 09,14.33646573,19.09523264,13.23057529,2.77618611,24.5072198,14.72610589,0.461265185,9.815493926,1.051455421
9,Michigan 01,15.8409932,21.27551629,10.88098365,2.387489555,24.10170706,14.12498508,0.55210696,9.242568939,1.593649278
10,Michigan 02,15.04870962,19.29869538,11.86691734,2.315843446,25.29197288,14.8293739,0.529823962,9.741924457,1.076739019
11,Michigan 03,14.15728401,19.20381434,13.31284467,3.524241728,24.1785386,14.21472886,0.936351103,9.458295037,1.013901654
12,Michigan 04,15.48183254,21.31437599,12.07266983,2.347551343,23.35545024,14.28751975,0.477093207,9.254344392,1.409162717
13,Michigan 05,15.88904872,25.94596285,10.07254988,1.666770905,23.73194071,13.0433423,0.322096441,8.246294327,1.081993871
14,Michigan 06,15.18332392,20.03925184,12.52787772,3.024175563,23.7087038,14.26744774,0.692854382,9.283653989,1.272711053
15,Michigan 07,14.02000719,18.66838385,14.68491674,2.884269798,22.80160537,14.8706122,0.443273032,10.46483767,1.162094166
16,Michigan 08,14.14408272,16.865519,18.85404238,5.868984717,19.23754332,12.87995,1.073802625,9.968183626,1.107891597
17,Michigan 09,14.23362521,19.80145317,12.36526229,3.241689511,24.1343518,14.6807548,0.939504431,9.498842254,1.104516541
18,Michigan 10,14.92773324,18.50639443,16.27874719,3.162537798,21.20287403,13.88742475,0.491025605,10.25882875,1.284434211
19,Michigan 11,12.9636881,13.94001096,21.17628632,7.695721409,17.58686402,13.24039993,1.623724124,10.72910956,1.044195578
20,Michigan 12,14.27668802,20.236078,13.84014475,3.814009592,22.94724145,13.85450472,0.723742784,9.313880353,0.993710331
21,Michigan 13,16.82728478,32.07107799,5.330849425,0.548131695,26.5933436,11.69705872,0.089564002,5.907641601,0.935048185
22,Michigan 14,15.05387005,26.77969463,10.61206954,3.856831251,22.69812942,11.62667724,1.031132263,7.155132527,1.186463084
23,Missouri 01,13.77816034,26.01288178,8.028850435,2.202368585,28.66640943,13.14000772,0.507553946,6.716927369,0.946840402
24,Missouri 02,12.04584498,13.59708725,20.51742263,8.351067921,18.32773519,13.39452835,2.302505064,10.35614471,1.107663906
25,Missouri 03,13.06063677,18.1137006,15.25251987,2.850514639,23.40941816,14.87120687,0.399978668,10.84208842,1.199936003
26,Missouri 04,14.47903822,21.1621455,10.79839704,2.160912454,25.46547472,14.49136868,0.388409371,9.278668311,1.775585697
27,Missouri 05,13.25678497,21.44544556,10.32029447,2.17283815,27.71398747,15.02307439,0.447752994,8.617184925,1.002637073
28,Missouri 06,13.35078534,17.9822795,15.05667108,3.239169208,22.93884126,14.88982222,0.517806801,10.48558771,1.539036879
29,Missouri 07,14.79772786,23.64407024,8.996280384,2.076064704,25.95657565,13.95576829,0.536316715,8.344626741,1.692569418
30,Missouri 08,15.58294425,24.5330953,8.675501236,1.520873386,25.05492996,13.86638286,0.343312277,8.496978852,1.925981873
31,Ohio 01,13.21154651,19.3334263,14.08450704,4.534932366,23.66476084,14.02593781,1.149072654,9.175847162,0.819969321
32,Ohio 02,12.22537824,18.7003652,13.23401542,4.234537128,25.0333314,15.20781404,1.063706452,9.353080981,0.947771144
33,Ohio 03,12.69192503,24.95899325,7.30054586,1.333727715,31.38293581,14.18967974,0.30385329,7.144585765,0.693753529
34,Ohio 04,13.13559322,19.5359725,10.92509186,1.700841531,27.41792106,16.05132156,0.334834657,9.991703212,0.906720398
35,Ohio 05,12.39235395,17.62995172,13.23940481,2.817855832,25.81246294,16.13067171,0.621170624,10.47237202,0.883756388
36,Ohio 06,13.07631683,21.76540129,10.59372127,1.865230527,25.92933141,15.49651911,0.4006305,9.831866544,1.04098253
37,Ohio 07,12.99413711,19.9599466,11.49358565,2.11296221,26.19724851,15.90236257,0.380217101,9.955302722,1.004237534
38,Ohio 08,12.83442743,18.91174325,13.15827863,2.710430343,25.80889861,15.3785558,0.423048869,9.913931437,0.860685631
39,Ohio 09,14.06361263,24.24638025,8.257180157,1.729765013,28.23700451,14.50272965,0.394611915,7.714217897,0.854497982
40,Ohio 10,12.56594864,20.89952488,12.45518407,2.696242749,25.8023144,14.83662226,0.524674265,9.318797913,0.900690821
41,Ohio 11,14.22736774,27.15227529,7.801897411,2.949027175,27.26161762,12.41678726,0.980865091,6.174626146,1.03553626
42,Ohio 12,12.22093817,15.52240374,17.84419814,5.985712034,21.01696696,14.63991175,1.213426485,10.67395073,0.882491989
43,Ohio 13,13.80350689,24.07324432,8.262389103,1.356154972,28.12079935,15.08797085,0.265854169,8.119007079,0.911073274
44,Ohio 14,12.82272177,15.94561852,15.71678557,4.789339077,22.23448647,15.60102302,1.259927312,10.55054516,1.079553103
45,Ohio 15,11.87413024,17.04580955,14.64599131,3.456306268,24.35318508,16.37556445,0.658885008,10.65008094,0.940047144
46,Ohio 16,12.41311874,16.2345728,15.4205978,3.818811279,22.97893708,16.30592775,0.753191152,11.09173075,0.983112662
47,Pennsylvania 01,13.45656291,13.82731856,19.68739164,7.775199381,18.82318423,13.58992825,1.637726388,10.09842362,1.104265024
48,Pennsylvania 02,14.42162588,26.1990683,7.584804147,1.072764254,29.14834985,13.73597533,0.101699364,7.004133587,0.731579293
49,Pennsylvania 03,12.54247573,22.59708738,9.305218447,3.768203883,27.18143204,14.96359223,1.004247573,7.597087379,1.04065534
50,Pennsylvania 04,12.81691935,12.92393936,20.30831953,8.681360683,18.208689,13.67307937,2.053764811,10.23824691,1.095680978
51,Pennsylvania 05,13.04221842,18.09278201,15.10822636,6.131378401,22.40734838,13.67100345,1.802323897,8.753730695,0.990988381
52,Pennsylvania 06,13.74586679,15.0537317,18.15068493,8.762399622,19.470359,12.72437411,2.025271611,9.004487482,1.062824752
53,Pennsylvania 07,14.46101824,18.62234463,14.58100406,3.937716452,23.42995828,13.9183551,0.679010662,9.356166998,1.014425568
54,Pennsylvania 08,15.72233759,21.12726194,11.59299911,2.215959656,24.92138831,13.93948383,0.409374073,8.911302284,1.159893207
55,Pennsylvania 09,14.88297778,17.90395597,13.5130337,2.367074001,24.21812587,15.35639258,0.363937628,10.28197769,1.11252478
56,Pennsylvania 10,13.93884653,17.5703318,14.63751561,3.445527721,24.34449964,14.66408097,0.648194884,9.818558563,0.932444279
57,Pennsylvania 11,13.91169171,17.16802575,14.7135026,3.057244934,23.78705648,15.28349742,0.578176562,10.46990482,1.030899719
58,Pennsylvania 12,15.34655077,18.88856334,12.1268353,2.37327864,24.2406485,15.19679656,0.413451834,10.03678745,1.377087606
59,Pennsylvania 13,15.09524668,19.59016886,11.79917072,1.92296136,24.53878974,15.28754282,0.363559882,10.20671835,1.195841596
60,Pennsylvania 14,14.67832605,17.82814312,15.20180839,3.420481247,22.34912703,14.59207043,0.657327266,10.31200738,0.960709081
61,Pennsylvania 15,15.9092322,19.63009015,11.29934722,1.722101337,24.65962076,15.17562947,0.329499534,10.14299036,1.131488965
62,Pennsylvania 16,16.44421681,20.30068392,11.95504806,2.70555271,23.59073243,13.90437167,0.575457202,9.457383026,1.066554186
63,Pennsylvania 17,13.90560823,15.40647361,16.95125417,5.476479554,21.51068172,14.26467929,1.301955517,10.27098241,0.911885511
64,Pennsylvania 18,14.05400863,19.24197434,12.4096588,3.481987786,25.67930977,14.43498235,0.77035128,8.955683792,0.972043252
65,Wisconsin 01,13.43408199,17.18015084,16.49550527,3.492805655,22.46528068,14.78667446,0.609501545,10.58139211,0.954607442
66,Wisconsin 02,11.64255231,15.33777454,17.08649943,4.574789216,23.5817633,15.27792235,0.900385136,10.52097429,1.07733944
67,Wisconsin 03,13.44728664,18.43473584,12.57769543,2.220296438,25.47812575,15.31496534,0.475137461,10.482907,1.568850108
68,Wisconsin 04,13.5593762,25.14061102,8.177809025,1.962162853,28.9850441,13.70957433,0.562444075,7.040138054,0.862840343
69,Wisconsin 05,12.2659503,14.35325722,18.37474815,4.999328408,21.33781061,15.38213566,1.130960376,11.16185359,0.993955675
70,Wisconsin 06,13.26139629,16.80847467,14.01363611,2.977968107,24.26607314,15.74632332,0.83957852,10.91452076,1.172029075
71,Wisconsin 07,13.30937337,17.80186656,13.01663672,2.486812359,25.16086024,15.38751377,0.510115356,10.73560953,1.591212104
72,Wisconsin 08,12.97485727,16.87252964,14.46805007,2.843653931,24.59376372,15.54951691,0.686209925,10.90799297,1.10342556
