MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,"Number of 
individuals [2]",Number of dependents,Number of volunteer prepared returns [3],,,,Number of refund anticipation check returns [4],Number of elderly returns [5],Adjusted gross income (AGI) [6],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [7],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable IRA, pensions and annuities",,"Number of 
farm returns",Unemployment compensation [8],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employed (Keogh) retirement plans,,Self-employed health insurance deduction,,Individual retirement arrangement payments,,Student loan interest deduction,,Total standard deduction,,Basic standard deduction,,Additional standard deduction,,Total itemized deductions,,,"Total medical and dental 
expenses deduction",,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Personal property taxes,,Limited state and local taxes paid,,Total taxes paid,,Home mortgage interest paid ,,"Home mortgage interest paid 
to personal seller",,Deductible points,,Investment interest paid,,Total charitable contributions,,Other non-limited miscellaneous deduction,,"Qualified business income deduction
",,Taxable income,,Income tax before credits,,Alternative minimum tax,,"Excess advance 
premium tax credit repayment",,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contributions credit,,Child and other dependent credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,"Health care individual 
responsibility payment",,Total tax payments,,Earned income credit [9],,"Excess earned income credit 
(refundable) [10]",,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax after credits,,Total tax liability [11],,Total additional Medicare tax,,Net investment income tax,,Tax due at time of filing [12],,Total overpayments,,Overpayments refunded [13],,Credited to next year's estimated tax,,
,,,,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144),(145),(146),(147),(148),(149),
00,Total,"4,741,940","2,351,640","1,746,540","561,200","4,270,570","242,800","2,548,450","2,944,620","8,755,440","2,614,980","98,830","51,680","47,180","11,890","587,890","1,359,380","315,394,496","4,723,800","318,952,714","3,796,560","214,375,881","1,478,900","2,823,446","880,830","6,949,320","821,070","5,222,957","625,670","672,166","721,950","8,492,757","780,710","17,730,325","1,275,410","35,238,334","38,140","175,710","603,921","803,410","12,083,685","238,400","17,252,113","1,089,520","3,558,218","84,610","21,817","21,650","498,601","102,130","757,266","72,300","356,794","417,970","469,874","4,324,500","73,148,806","4,324,500","71,420,172","889,080","1,728,543","362,280","12,225,213","83,634,276","94,120","1,591,235","317,100","3,255,338","39,900","51,067","324,640","1,925,935","238,620","111,624","332,110","2,599,295","360,730","3,005,337","270,340","2,578,823","8,750","48,859","10,800","6,808","17,700","321,864","309,790","3,838,387","24,860","718,991","523,360","4,069,140","3,614,860","235,506,045","3,593,640","40,628,891","4,560","63,010","73,740","102,668","1,639,710","3,626,923","271,600","502,587","159,920","86,011","271,250","299,631","304,550","57,528","1,097,880","2,376,943","10,090","23,192","537,590","1,515,957","129,140","809,332","146,530","894,572","105,540","76,593","4,437,800","48,037,714","755,590","1,878,993","669,830","1,638,743","553,860","983,909","226,670","207,556","53,180","49,315","3,133,280","36,984,318","3,406,010","39,429,977","93,710","172,577","108,140","505,136","832,970","3,552,661","3,680,690","12,115,365","3,584,640","9,760,864","127,850","2,331,443",
00,Under $1,"55,070","34,910","16,640","2,150","36,840","10,920","33,520","12,040","80,140","11,180",230,150,80,0,"1,440","29,870","-4,013,416","36,960","-3,970,827","10,630","393,284","16,620","83,925","10,390","108,048","9,370","75,146","1,620","6,126","16,110","-231,448","16,340","261,854","9,860","132,975","3,620",220,787,0,0,"8,400","-1,145,364","9,060","42,589",0,0,20,212,"2,420","13,629",50,259,"2,010","2,319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,"2,433",70,857,590,184,30,20,0,0,0,0,20,6,0,0,20,15,0,0,"5,240","11,412","4,200","36,151","4,420","33,662",0,0,"22,230","135,483","3,660","4,078","2,220","2,701","1,510","3,095","2,310","2,143","3,110","4,198",600,"2,318","6,880","18,681",230,356,0,0,"3,730","6,005","20,450","121,629","19,130","86,504","1,760","26,198",
00,"$1 under $10,000","701,850","593,540","57,780","43,790","616,850","43,500","330,700","344,740","624,540","108,540","40,650","21,620","19,050","5,710","54,750","191,350","3,359,773","701,820","3,421,396","474,680","2,521,536","139,710","46,423","60,530","66,407","54,720","40,674","5,270","2,820","77,280","233,146","50,940","19,274","120,890","600,065","2,430","5,030","16,614","1,680","6,560","6,310","-17,749","74,030","61,623",630,138,0,0,"5,260","15,253","1,260","4,105","10,170","8,995","696,080","7,695,314","696,080","7,424,120","152,040","271,196","5,710","119,449","29,084","4,650","75,572","1,890","2,385","2,770","1,397","3,650","14,061","2,260",825,"4,680","15,062","5,320","17,897","2,500","17,037",60,376,80,49,50,97,"2,930","4,144",100,532,800,300,"17,290","31,549","13,040","3,160",0,0,"3,540","1,283","2,210",337,"1,320",44,0,0,50,21,0,0,270,124,0,0,"62,210","45,398","13,540","93,790","14,040","91,076",170,93,"533,720","422,128","171,310","179,340","149,430","157,877","46,160","31,676","20,350","17,595","7,940","6,369","12,280","2,841","80,570","50,572",0,0,0,0,"42,080","19,180","508,180","391,063","505,890","385,420","3,120","4,860",
00,"$10,000 under $25,000","980,940","631,750","139,000","196,170","889,790","46,460","488,570","712,920","1,538,970","504,800","29,280","15,840","13,450","4,320","202,510","248,720","16,762,089","980,940","16,994,428","746,970","12,094,668","166,550","105,223","87,770","164,788","80,240","101,760","16,490","7,973","172,990","1,245,095","72,710","114,300","226,480","2,816,827","4,700","33,610","121,785","112,190","207,931","15,010","32,090","189,110","232,339","3,530",788,500,"2,631","11,430","35,832","5,680","18,427","44,070","38,807","965,380","14,565,732","965,380","14,205,430","192,610","360,302","15,500","347,929","280,596","12,300","198,208","7,380","9,746","6,820","4,582","11,020","40,363","7,980","3,382","13,210","47,390","15,110","55,486","7,160","46,824",120,526,150,50,200,385,"10,390","33,463",920,"7,246","49,500","32,463","606,410","3,379,708","599,620","341,347",50,127,"14,290","5,868","223,690","76,943","8,970",396,"7,910","2,707","52,230","25,325","73,850","12,382","97,530","35,735",420,188,"139,160","226,886","41,750","247,710","42,680","243,421","33,290","17,471","918,780","2,685,638","345,560","1,181,575","311,140","1,032,090","235,190","406,476","52,640","45,187","21,160","15,993","442,530","264,402","566,900","514,406",20,23,0,0,"76,270","77,992","868,090","2,246,960","863,210","2,233,956","7,120","12,870",
00,"$25,000 under $50,000","1,084,410","606,210","257,300","191,250","983,650","48,960","552,700","780,830","1,896,110","565,050","20,540","11,670","8,860","1,860","189,490","270,920","39,337,048","1,084,410","39,769,333","912,070","30,706,538","238,120","174,655","127,960","313,838","118,040","203,804","62,800","26,485","132,460","945,787","107,370","290,965","264,160","5,124,188","6,840","54,230","191,234","219,890","1,595,689","26,540","161,780","229,400","432,285","13,480","3,201","1,140","8,507","16,630","69,134","16,430","62,883","120,390","129,384","1,047,430","16,890,377","1,047,430","16,531,414","182,590","358,963","36,960","820,206","1,415,000","22,260","326,351","26,370","49,873","9,330","9,430","28,330","106,505","22,900","10,393","31,570","143,903","36,600","169,347","20,630","136,248",790,"3,969",630,504,590,"1,245","28,620","140,001","2,380","25,966","98,270","151,620","1,073,410","21,349,456","1,065,110","2,328,991",90,"1,427","32,360","25,689","453,950","508,096","31,780","2,318","31,040","18,330","74,290","78,361","176,400","35,669","287,550","369,144","2,620","2,358","88,010","209,013","51,680","300,738","55,110","321,740","47,770","29,739","1,059,560","4,212,196","228,150","511,133","201,910","443,940","204,440","418,179","45,270","39,135","16,250","16,265","833,680","1,820,895","885,860","2,074,684",110,110,0,0,"151,620","205,749","927,090","2,335,234","917,940","2,305,197","13,400","28,622",
