PENNSYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,"Number of 
individuals [2]",Number of dependents,Number of volunteer prepared returns [3],,,,Number of refund anticipation check returns [4],Number of elderly returns [5],Adjusted gross income (AGI) [6],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [7],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable IRA, pensions and annuities",,"Number of 
farm returns",Unemployment compensation [8],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employed (Keogh) retirement plans,,Self-employed health insurance deduction,,Individual retirement arrangement payments,,Student loan interest deduction,,Total standard deduction,,Basic standard deduction,,Additional standard deduction,,Total itemized deductions,,,"Total medical and dental 
expenses deduction",,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Personal property taxes,,Limited state and local taxes paid,,Total taxes paid,,Home mortgage interest paid ,,"Home mortgage interest paid 
to personal seller",,Deductible points,,Investment interest paid,,Total charitable contributions,,Other non-limited miscellaneous deduction,,"Qualified business income deduction
",,Taxable income,,Income tax before credits,,Alternative minimum tax,,"Excess advance 
premium tax credit repayment",,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contributions credit,,Child and other dependent credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,"Health care individual 
responsibility payment",,Total tax payments,,Earned income credit [9],,"Excess earned income credit 
(refundable) [10]",,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax after credits,,Total tax liability [11],,Total additional Medicare tax,,Net investment income tax,,Tax due at time of filing [12],,Total overpayments,,Overpayments refunded [13],,Credited to next year's estimated tax,,
,,,,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144),(145),(146),(147),(148),(149),
00,Total,"6,244,390","3,118,740","2,268,080","728,080","5,545,690","384,180","3,152,660","3,809,380","11,306,070","3,266,580","166,340","89,480","77,000","22,910","750,380","1,762,840","449,893,615","6,223,350","455,102,045","5,097,390","308,532,931","2,036,110","4,043,346","1,383,090","11,144,685","1,285,450","8,283,522","482,160","493,083","840,760","13,941,716","1,104,370","27,244,866","1,658,550","45,650,769","42,670","298,360","1,439,352","1,024,370","15,905,307","315,070","20,259,865","1,484,400","5,208,430","139,010","35,565","38,420","902,797","151,150","1,258,308","105,850","508,363","639,780","735,836","5,625,700","94,528,987","5,625,700","92,325,700","1,127,910","2,203,222","553,180","18,357,632","128,894,605","143,480","2,922,997","470,640","5,091,134","69,560","73,091","484,590","3,423,428","54,470","53,103","520,340","4,200,430","549,180","4,565,085","417,390","4,456,087","8,180","58,246","21,560","13,233","25,430","369,804","460,760","5,028,726","28,790","747,579","703,210","5,271,351","4,878,300","342,886,203","4,843,440","60,252,635","6,820","78,878","97,710","174,613","2,158,940","4,495,785","384,930","358,550","240,770","138,378","336,720","396,743","375,730","67,542","1,450,510","3,136,163","17,930","42,508","661,250","2,234,794","203,120","1,840,492","227,260","2,008,791","124,050","91,805","5,908,400","69,946,945","903,950","2,059,240","802,680","1,846,057","650,690","1,120,037","273,930","259,079","68,890","71,072","4,282,160","55,725,735","4,557,510","59,445,160","159,730","306,344","183,760","819,711","1,079,040","5,788,651","4,932,020","16,173,548","4,792,590","13,120,772","187,230","3,012,791",
00,Under $1,"65,420","41,520","19,450","2,370","43,560","12,790","39,800","13,760","95,360","15,470",680,470,210,0,"1,500","32,850","-4,417,287","44,400","-4,365,342","12,040","454,070","19,310","76,465","14,680","97,856","13,290","65,064","1,080","3,242","20,390","-228,417","18,960","292,544","10,770","144,973","4,320",400,"1,856",0,0,"10,120","-1,217,536","11,210","51,945",0,0,60,401,"2,960","18,643",140,749,"2,820","3,508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,390","2,459",110,"1,383","1,150",339,90,93,0,0,0,0,20,6,0,0,90,56,0,0,"6,380","15,226","6,210","69,558","6,700","70,383",0,0,"28,310","164,134","4,310","4,751","2,560","3,089","1,810","3,501","2,470","2,365","3,710","4,737","1,180","2,152","8,640","21,938",330,459,0,0,"4,850","7,430","26,030","149,804","24,270","109,407","2,490","28,049",
00,"$1 under $10,000","893,920","758,600","66,970","58,840","763,100","71,330","374,520","442,240","747,960","140,310","51,050","25,870","25,200","9,680","69,760","206,800","4,382,305","893,900","4,458,763","657,430","3,261,865","163,780","72,520","105,620","110,879","95,090","68,279","2,550","1,131","86,180","291,404","75,440","49,179","151,180","708,551","2,790","13,310","39,999","2,380","9,442","8,520","-24,208","88,410","76,458",840,181,30,106,"6,640","21,485","1,540","4,949","15,350","14,967","885,440","9,276,969","885,440","8,973,405","167,200","303,565","8,440","194,025","42,969","6,520","128,963","3,250","5,231","3,360","1,554","4,850","26,082",480,294,"6,920","26,063","7,630","29,664","3,300","25,453",60,427,0,0,200,342,"4,070","5,321",90,504,"1,470","1,042","31,820","58,881","21,300","5,240",0,0,"5,000","1,876","4,030",558,"2,620",95,0,0,260,78,0,0,400,195,0,0,"70,680","50,781","20,710","194,969","21,730","196,930",110,57,"730,320","562,139","227,540","231,288","201,880","210,669","63,300","41,143","22,140","19,352","9,390","7,947","20,070","4,754","98,000","58,276",0,0,0,0,"55,700","25,643","699,150","529,855","695,530","522,585","4,770","6,701",
00,"$10,000 under $25,000","1,141,460","746,150","161,100","213,580","1,019,910","64,660","519,300","799,340","1,727,550","516,070","53,810","30,480","23,350","8,720","215,480","305,190","19,614,424","1,141,460","19,888,851","872,030","14,240,759","213,410","162,074","130,330","257,618","118,080","158,850","8,280","3,149","152,880","1,335,257","92,330","188,648","268,010","3,094,575","5,180","62,910","255,533","122,880","227,071","17,930","33,305","202,520","274,427","5,160","1,151",640,"3,602","14,280","48,139","7,670","24,652","66,500","66,257","1,120,230","16,873,180","1,120,230","16,427,294","236,460","445,887","21,220","516,334","382,921","16,160","312,703","9,970","14,708","8,610","5,070","13,790","68,484","1,630","1,382","18,470","75,011","20,180","86,822","9,230","66,418",30,206,330,84,290,699,"13,210","35,662",940,"8,073","55,620","40,724","721,690","4,077,460","711,970","411,101",100,464,"17,410","7,556","257,490","87,817","11,300",549,"14,960","5,110","49,750","24,928","90,400","14,594","111,660","41,985",670,347,"128,560","217,669","64,810","550,511","66,570","552,151","37,390","19,962","1,065,320","3,026,773","377,410","1,195,690","336,330","1,080,284","248,980","425,424","47,950","41,724","25,380","21,422","534,770","323,284","640,880","567,630",20,21,0,0,"90,210","99,356","1,007,910","2,555,640","1,000,620","2,535,868","10,600","18,849",
00,"$25,000 under $50,000","1,458,230","842,800","299,870","269,270","1,314,720","75,060","676,640","1,051,910","2,460,880","718,030","41,350","25,120","16,220","4,510","257,510","346,940","53,211,348","1,458,230","53,849,731","1,245,160","42,614,202","319,490","256,155","192,670","470,501","176,560","306,620","36,490","10,766","151,040","1,566,593","142,220","440,190","322,900","5,729,054","8,460","82,900","414,254","264,340","1,889,429","33,390","236,431","334,270","638,383","18,980","4,448","1,760","13,721","23,440","104,490","24,600","93,702","194,920","226,632","1,403,660","22,230,775","1,403,660","21,786,996","227,130","443,778","54,560","1,274,142","2,108,512","30,770","543,853","38,030","85,758","13,360","11,030","39,340","187,847","7,140","11,161","48,990","251,363","53,520","286,305","30,660","220,755",900,"5,228","1,190","1,029",860,"1,804","39,990","171,979","2,820","30,054","126,840","207,152","1,443,550","29,482,167","1,431,540","3,217,116",60,344,"42,390","35,320","588,520","676,640","39,100","2,443","54,110","33,574","93,420","104,394","223,690","42,396","376,830","484,351","5,170","5,756","111,820","278,862","83,950","719,584","87,740","748,838","55,740","34,303","1,424,430","5,892,148","287,910","624,784","256,780","549,927","261,600","517,176","58,460","52,657","23,670","25,525","1,132,130","2,540,490","1,192,390","2,874,010",160,195,0,0,"170,590","249,228","1,278,200","3,257,165","1,264,400","3,215,092","20,280","42,051",
