WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number with paid preparer's signature,Number of returns with direct deposit,"Number of 
individuals [2]",Number of dependents,Number of volunteer prepared returns [3],,,,Number of refund anticipation check returns [4],Number of elderly returns [5],Adjusted gross income (AGI) [6],Total income,,Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [7],,"State and local income tax refunds
",,"Business or profession
net income (less loss)",,Net capital gain (less loss) in AGI,,"Taxable IRA, pensions and annuities",,"Number of 
farm returns",Unemployment compensation [8],,Taxable Social Security benefits,,Partnership/S-corp net income (less loss),,Total statuory adjustments,,Educator expenses,,Self-employed (Keogh) retirement plans,,Self-employed health insurance deduction,,Individual retirement arrangement payments,,Student loan interest deduction,,Total standard deduction,,Basic standard deduction,,Additional standard deduction,,Total itemized deductions,,,"Total medical and dental 
expenses deduction",,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Personal property taxes,,Limited state and local taxes paid,,Total taxes paid,,Home mortgage interest paid ,,"Home mortgage interest paid 
to personal seller",,Deductible points,,Investment interest paid,,Total charitable contributions,,Other non-limited miscellaneous deduction,,"Qualified business income deduction
",,Taxable income,,Income tax before credits,,Alternative minimum tax,,"Excess advance 
premium tax credit repayment",,Total tax credits,,Foreign tax credit,,Child and dependent care credit,,Nonrefundable education credit,,Retirement savings contributions credit,,Child and other dependent credit,,Residential energy tax credit,,Self-employment tax,,Total premium tax credit,,Advance premium tax credit,,"Health care individual 
responsibility payment",,Total tax payments,,Earned income credit [9],,"Excess earned income credit 
(refundable) [10]",,Additional child tax credit,,Refundable education credit,,Net premium tax credit,,Income tax after credits,,Total tax liability [11],,Total additional Medicare tax,,Net investment income tax,,Tax due at time of filing [12],,Total overpayments,,Overpayments refunded [13],,Credited to next year's estimated tax,,
,,,,,,,,,,,,Total,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Amount of AGI,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135),(136),(137),(138),(139),(140),(141),(142),(143),(144),(145),(146),(147),(148),(149),
00,Total,"2,827,680","1,420,350","1,100,260","279,140","2,582,260","110,280","1,453,140","1,688,210","5,201,790","1,481,550","67,870","22,030","45,860","6,110","288,430","778,810","193,652,089","2,820,690","196,034,596","2,342,200","134,112,932","1,076,640","1,609,841","637,670","4,393,137","596,440","3,337,046","523,860","672,533","351,150","4,785,380","552,080","10,441,306","750,690","20,519,886","50,920","82,580","319,848","469,590","7,059,276","145,590","11,066,374","676,100","2,382,507","58,920","14,968","14,710","277,499","71,260","554,178","53,840","253,064","290,240","306,240","2,573,970","44,059,694","2,573,970","43,094,519","490,440","965,062","220,750","7,120,467","46,622,911","66,990","1,284,288","193,520","2,391,298","23,430","23,338","194,930","1,194,169","23,730","17,356","209,300","1,682,673","219,360","1,844,610","161,540","1,474,641","3,470","18,474","5,320","2,336","10,310","123,254","178,490","1,989,909","12,910","257,376","323,410","2,709,671","2,262,000","144,866,078","2,244,700","24,232,561","2,160","24,815","65,280","96,698","1,019,010","2,124,052","193,240","110,301","110,440","56,908","159,220","173,898","200,040","37,862","662,410","1,559,964","3,200","7,070","278,620","864,914","121,240","1,101,205","132,700","1,190,375","67,750","48,541","2,666,910","27,568,114","353,030","793,665","310,240","712,952","273,060","491,202","119,420","109,831","42,750","39,044","1,999,010","22,092,169","2,112,980","23,468,309","50,510","94,456","64,630","254,425","568,520","2,334,522","2,147,010","6,383,034","2,090,770","5,206,379","79,840","1,156,504",
00,Under $1,"32,890","19,800","11,400","1,170","24,750","4,380","23,520","7,280","51,410","8,430",160,60,100,0,550,"17,570","-2,447,137","25,920","-2,413,741","8,490","266,857","12,990","48,078","7,400","43,074","6,650","29,814",910,"2,956","10,630","-115,815","11,490","190,792","6,780","86,705","6,460",0,0,0,0,"5,570","-586,637","7,350","33,396",50,11,0,0,"1,850","10,558",20,102,"1,140","1,228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,"1,006",20,55,660,156,0,0,0,0,0,0,0,0,0,0,20,6,0,0,"4,430","8,369","4,450","53,536","4,650","52,714",0,0,"15,340","73,650","3,080","3,928","1,810","2,523","1,050","2,266",880,818,"2,810","3,359",640,854,"5,590","10,795",100,86,0,0,"3,100","4,031","13,780","66,283","13,200","50,855",840,"6,885",
00,"$1 under $10,000","366,360","318,300","25,040","20,870","319,090","21,230","149,000","182,840","298,990","53,020","25,590","6,460","19,140","2,640","23,670","86,960","1,844,710","366,340","1,875,391","270,810","1,489,094","80,190","28,696","41,470","40,886","37,880","25,036","2,900","2,003","30,210","92,212","34,230","29,632","55,230","261,515","3,280","2,040","6,352",520,"1,527","3,590","-7,815","31,870","30,681",200,44,0,0,"3,090","8,481",670,"1,920","5,580","4,661","362,830","3,848,188","362,830","3,726,769","68,220","121,420","3,500","84,965","18,178","2,890","56,922",940,"1,718","1,870",878,"2,240","10,258",180,80,"2,950","11,009","3,260","12,536","1,480","9,882",0,0,0,0,30,14,"1,880","2,337",0,0,460,104,"13,890","24,603","9,580","2,382",0,0,"3,220","1,061","1,830",232,"1,100",33,0,0,30,6,0,0,130,49,0,0,"24,720","18,108","12,740","127,639","13,130","127,997",0,0,"292,600","213,638","84,670","86,856","75,210","79,269","23,580","15,563","8,800","7,467","5,980","4,043","9,060","2,188","36,760","21,337",0,0,0,0,"19,550","8,745","281,300","201,157","280,150","198,268","1,670","2,074",
00,"$10,000 under $25,000","497,010","347,670","64,590","79,860","450,760","19,400","225,390","338,960","705,340","196,150","19,250","7,010","12,240","2,310","82,960","127,820","8,556,515","497,010","8,669,356","390,230","6,390,933","112,800","71,248","62,220","115,304","57,240","71,399","10,420","6,668","56,020","450,366","51,530","108,705","115,650","1,338,556","6,120","13,290","49,084","54,780","95,311","7,940","14,022","80,180","112,841","1,940",420,270,"1,282","7,310","21,108","3,870","12,427","27,470","23,293","487,100","7,164,301","487,100","6,980,647","97,510","183,654","9,870","246,101","177,024","8,280","159,355","3,830","5,921","5,000","2,889","6,740","29,179",700,393,"8,720","33,027","9,480","36,915","4,100","25,861",20,134,20,5,40,39,"6,280","17,119",410,"3,132","21,790","14,996","325,340","1,862,785","320,800","189,358",80,523,"14,880","5,628","117,700","39,708","6,690",252,"4,500","1,502","27,880","13,802","44,850","7,287","43,730","16,684",30,9,"47,530","78,384","40,400","345,625","41,200","346,486","17,280","9,032","458,690","1,168,578","142,590","445,454","126,000","406,472","94,330","163,693","22,420","18,685","16,010","11,700","245,630","149,653","284,980","239,807",0,0,0,0,"47,270","42,586","427,270","969,862","424,650","963,689","4,060","6,055",
00,"$25,000 under $50,000","689,270","424,170","144,790","109,610","633,160","23,620","329,570","481,420","1,144,400","316,120","15,040","6,400","8,640","1,160","104,490","160,130","25,274,187","689,270","25,578,414","593,800","20,370,562","188,270","122,070","98,860","223,823","91,610","147,325","55,460","37,601","64,050","610,054","81,610","267,878","155,520","2,764,210","9,580","24,700","94,319","126,060","894,612","15,450","80,439","156,680","304,227","9,960","2,307",920,"6,924","11,880","45,781","13,540","52,289","88,490","90,998","666,130","10,460,451","666,130","10,252,124","104,740","208,329","23,150","536,472","892,362","14,620","254,069","16,410","33,793","5,860","4,534","17,920","78,256","2,670","2,193","20,950","103,871","22,770","114,104","13,250","84,698",400,"1,806",410,178,400,756,"16,280","62,463","1,070","11,607","56,900","88,005","682,400","14,162,343","675,420","1,549,617",0,0,"29,560","23,413","272,560","296,579","23,950","1,367","18,010","9,652","39,470","38,805","117,930","23,734","161,760","221,227",690,537,"48,740","121,289","48,830","405,737","50,500","426,529","33,540","19,686","670,160","2,589,192","119,010","255,902","104,490","223,570","112,290","230,965","21,440","17,789","13,990","13,705","550,010","1,253,039","577,750","1,401,821",40,54,0,0,"104,090","134,274","579,930","1,315,062","574,070","1,298,822","9,080","16,039",
