OHIO,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2022",,,,
[Money amounts are in thousands of dollars],,,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns [2],Percenrage
,,,,
Ohio,1,,"362,630",100
Ohio,1,Under $1,4130,1.138901911
Ohio,1,"$1 under $10,000",37790,10.42109037
Ohio,1,"$10,000 under $25,000",59520,16.41342415
Ohio,1,"$25,000 under $50,000",83510,23.02898271
Ohio,1,"$50,000 under $75,000",54510,15.03185065
Ohio,1,"$75,000 under $100,000",34720,9.574497422
Ohio,1,"$100,000 under $200,000",59700,16.46306152
Ohio,1,"$200,000 under $500,000",23080,6.364614069
Ohio,1,"$500,000 or more",5670,1.5635772
,,,,
Ohio,2,,"347,370",100
Ohio,2,Under $1,4080,1.174540116
Ohio,2,"$1 under $10,000",33680,9.695713504
Ohio,2,"$10,000 under $25,000",53370,15.36402107
Ohio,2,"$25,000 under $50,000",83950,24.16731439
Ohio,2,"$50,000 under $75,000",56220,16.18447189
Ohio,2,"$75,000 under $100,000",35370,10.18222644
Ohio,2,"$100,000 under $200,000",55280,15.91386706
Ohio,2,"$200,000 under $500,000",20340,5.85542793
Ohio,2,"$500,000 or more",5080,1.462417595
,,,,
Ohio,3,,"374,480",100
Ohio,3,Under $1,3950,1.054795984
Ohio,3,"$1 under $10,000",38880,10.38239692
Ohio,3,"$10,000 under $25,000",78760,21.03183081
Ohio,3,"$25,000 under $50,000",111740,29.83870968
Ohio,3,"$50,000 under $75,000",62410,16.66577654
Ohio,3,"$75,000 under $100,000",31840,8.50245674
Ohio,3,"$100,000 under $200,000",37020,9.885708182
Ohio,3,"$200,000 under $500,000",8230,2.197714164
Ohio,3,"$500,000 or more",1650,0.440610981
,,,,
Ohio,4,,"341,080",100
Ohio,4,Under $1,3790,1.111176264
Ohio,4,"$1 under $10,000",35520,10.41397913
Ohio,4,"$10,000 under $25,000",55900,16.38911692
Ohio,4,"$25,000 under $50,000",89970,26.37797584
Ohio,4,"$50,000 under $75,000",60760,17.81400258
Ohio,4,"$75,000 under $100,000",35260,10.33775067
Ohio,4,"$100,000 under $200,000",48720,14.28403894
Ohio,4,"$200,000 under $500,000",9450,2.770611
Ohio,4,"$500,000 or more",1710,0.501348657
,,,,
Ohio,5,,"356,240",100
Ohio,5,Under $1,3510,0.985290815
Ohio,5,"$1 under $10,000",35640,10.00449135
Ohio,5,"$10,000 under $25,000",53440,15.00112284
Ohio,5,"$25,000 under $50,000",87060,24.43858073
Ohio,5,"$50,000 under $75,000",60790,17.06433865
Ohio,5,"$75,000 under $100,000",38660,10.85223445
Ohio,5,"$100,000 under $200,000",59370,16.66573097
Ohio,5,"$200,000 under $500,000",14590,4.095553559
Ohio,5,"$500,000 or more",3180,0.892656636
,,,,
Ohio,6,,"304,350",100
Ohio,6,Under $1,3760,1.235419747
Ohio,6,"$1 under $10,000",32050,10.53063907
Ohio,6,"$10,000 under $25,000",54730,17.98258584
Ohio,6,"$25,000 under $50,000",79520,26.12781337
Ohio,6,"$50,000 under $75,000",50350,16.54345326
Ohio,6,"$75,000 under $100,000",31550,10.36635453
Ohio,6,"$100,000 under $200,000",42240,13.87875801
Ohio,6,"$200,000 under $500,000",8280,2.720551996
Ohio,6,"$500,000 or more",1870,0.614424183
,,,,
Ohio,7,,"350,460",100
Ohio,7,Under $1,3870,1.104262969
Ohio,7,"$1 under $10,000",36220,10.3349883
Ohio,7,"$10,000 under $25,000",57100,16.29287223
Ohio,7,"$25,000 under $50,000",88620,25.28676596
Ohio,7,"$50,000 under $75,000",60940,17.38857502
Ohio,7,"$75,000 under $100,000",37330,10.65171489
Ohio,7,"$100,000 under $200,000",52310,14.92609713
Ohio,7,"$200,000 under $500,000",11910,3.398390687
Ohio,7,"$500,000 or more",2160,0.61633282
,,,,
Ohio,8,,"346,870",100
Ohio,8,Under $1,3580,1.032086949
Ohio,8,"$1 under $10,000",35120,10.12483063
Ohio,8,"$10,000 under $25,000",55440,15.98293309
Ohio,8,"$25,000 under $50,000",86890,25.04973045
Ohio,8,"$50,000 under $75,000",57170,16.48167902
Ohio,8,"$75,000 under $100,000",35640,10.2747427
Ohio,8,"$100,000 under $200,000",56380,16.25392798
Ohio,8,"$200,000 under $500,000",14280,4.116816098
Ohio,8,"$500,000 or more",2370,0.683253092
,,,,
Ohio,9,,"336,410",100
Ohio,9,Under $1,3910,1.162272227
Ohio,9,"$1 under $10,000",36940,10.98064861
Ohio,9,"$10,000 under $25,000",69310,20.60283583
Ohio,9,"$25,000 under $50,000",95240,28.31069231
Ohio,9,"$50,000 under $75,000",55120,16.38476859
Ohio,9,"$75,000 under $100,000",29300,8.709610297
Ohio,9,"$100,000 under $200,000",35980,10.69528254
Ohio,9,"$200,000 under $500,000",8780,2.609910526
Ohio,9,"$500,000 or more",1830,0.543979073
,,,,
Ohio,10,,"345,910",100
Ohio,10,Under $1,3800,1.098551646
Ohio,10,"$1 under $10,000",35400,10.23387586
Ohio,10,"$10,000 under $25,000",60130,17.38313434
Ohio,10,"$25,000 under $50,000",87240,25.22043306
Ohio,10,"$50,000 under $75,000",55660,16.09089069
Ohio,10,"$75,000 under $100,000",34610,10.00549276
Ohio,10,"$100,000 under $200,000",53020,15.32768639
Ohio,10,"$200,000 under $500,000",13630,3.9403313
Ohio,10,"$500,000 or more",2420,0.699603943
,,,,
Ohio,11,,"304,230",100
Ohio,11,Under $1,4680,1.538309831
Ohio,11,"$1 under $10,000",35970,11.82329159
Ohio,11,"$10,000 under $25,000",70660,23.22584886
Ohio,11,"$25,000 under $50,000",83320,27.38717418
Ohio,11,"$50,000 under $75,000",43330,14.24251389
Ohio,11,"$75,000 under $100,000",21710,7.136048384
Ohio,11,"$100,000 under $200,000",29160,9.584853565
Ohio,11,"$200,000 under $500,000",11610,3.816191697
Ohio,11,"$500,000 or more",3790,1.245768004
,,,,
Ohio,12,,"393,420",100
Ohio,12,Under $1,4090,1.039601444
Ohio,12,"$1 under $10,000",38300,9.735143104
Ohio,12,"$10,000 under $25,000",51590,13.11321234
Ohio,12,"$25,000 under $50,000",79580,20.22774643
Ohio,12,"$50,000 under $75,000",58230,14.80097606
Ohio,12,"$75,000 under $100,000",41870,10.64257028
Ohio,12,"$100,000 under $200,000",79180,20.12607392
Ohio,12,"$200,000 under $500,000",33470,8.507447512
Ohio,12,"$500,000 or more",7110,1.807228916
,,,,
Ohio,13,,"334,480",100
Ohio,13,Under $1,3800,1.136091844
Ohio,13,"$1 under $10,000",36240,10.83472853
Ohio,13,"$10,000 under $25,000",67110,20.06397991
Ohio,13,"$25,000 under $50,000",96310,28.79394882
Ohio,13,"$50,000 under $75,000",56370,16.85302559
Ohio,13,"$75,000 under $100,000",30260,9.046878737
Ohio,13,"$100,000 under $200,000",36500,10.91246113
Ohio,13,"$200,000 under $500,000",6710,2.006099019
Ohio,13,"$500,000 or more",1180,0.352786415
,,,,
Ohio,14,,"372,900",100
Ohio,14,Under $1,4590,1.230893001
Ohio,14,"$1 under $10,000",38710,10.38079914
Ohio,14,"$10,000 under $25,000",50490,13.53982301
Ohio,14,"$25,000 under $50,000",78920,21.1638509
Ohio,14,"$50,000 under $75,000",60790,16.30195763
Ohio,14,"$75,000 under $100,000",41010,10.99758648
Ohio,14,"$100,000 under $200,000",68140,18.27299544
Ohio,14,"$200,000 under $500,000",24040,6.446768571
Ohio,14,"$500,000 or more",6210,1.665325825
,,,,
Ohio,15,,"361,390",100
Ohio,15,Under $1,4140,1.145576801
Ohio,15,"$1 under $10,000",33770,9.344475497
Ohio,15,"$10,000 under $25,000",51690,14.30310745
Ohio,15,"$25,000 under $50,000",83140,23.0056172
Ohio,15,"$50,000 under $75,000",61100,16.90694264
Ohio,15,"$75,000 under $100,000",40560,11.22333213
Ohio,15,"$100,000 under $200,000",64250,17.77857716
Ohio,15,"$200,000 under $500,000",19030,5.265779352
Ohio,15,"$500,000 or more",3710,1.026591771
,,,,
Ohio,16,,"378,800",100
Ohio,16,Under $1,4040,1.066525871
Ohio,16,"$1 under $10,000",37920,10.01055966
Ohio,16,"$10,000 under $25,000",51670,13.64044351
Ohio,16,"$25,000 under $50,000",82310,21.72914467
Ohio,16,"$50,000 under $75,000",64810,17.1092925
Ohio,16,"$75,000 under $100,000",43460,11.47307286
Ohio,16,"$100,000 under $200,000",70010,18.48204857
Ohio,16,"$200,000 under $500,000",20400,5.385427666
Ohio,16,"$500,000 or more",4180,1.103484688
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
