CD119,18-44,45-64,65 and older,In Poverty,Did not finish high school,Bachelors or more,White,Black,Asian,Hispanic,Under $1,"$1 under $10,000","$10,000 under $25,000","$25,000 under $50,000","$50,000 under $75,000","$500,000 or more","$75,000 under $100,000","$100,000 under $200,000","$200,000 under $500,000",urbanization_pct
Ohio 01,49.2,30.5,20.4,12.2,6.2,48.7,68.5,16.9,4.2,5.0,1.1,10.4,16.4,23.0,15.0,1.6,9.6,16.5,6.4,46.6
Ohio 02,41.8,33.6,24.6,14.6,9.3,21.4,92.4,1.6,0.5,1.5,1.2,9.7,15.4,24.2,16.2,1.5,10.2,15.9,5.9,10.2
Ohio 03,54.8,27.9,17.3,16.6,8.2,46.0,54.1,28.0,5.8,7.3,1.1,10.4,21.0,29.8,16.7,0.4,8.5,9.9,2.2,86.0
Ohio 04,43.3,33.0,23.7,10.8,7.2,28.9,85.7,3.9,3.4,2.8,1.1,10.4,16.4,26.4,17.8,0.5,10.3,14.3,2.8,13.8
Ohio 05,42.6,32.0,25.3,10.9,6.4,26.3,85.8,3.4,1.0,7.6,1.0,10.0,15.0,24.4,17.1,0.9,10.9,16.7,4.1,13.4
Ohio 06,38.7,33.3,28.0,15.9,8.9,21.1,86.5,5.2,0.5,3.6,1.2,10.5,18.0,26.1,16.5,0.6,10.4,13.9,2.7,14.3
Ohio 07,39.3,34.0,26.7,8.0,6.4,37.5,86.9,3.2,3.1,4.3,1.1,10.3,16.3,25.3,17.4,0.6,10.7,14.9,3.4,30.6
Ohio 08,43.6,32.3,24.0,10.7,8.1,31.4,74.5,13.1,2.8,4.9,1.0,10.1,16.0,25.0,16.5,0.7,10.3,16.3,4.1,22.8
Ohio 09,42.3,31.9,25.8,14.1,8.0,27.9,76.5,11.7,1.6,8.0,1.2,11.0,20.6,28.3,16.4,0.5,8.7,10.7,2.6,20.0
Ohio 10,45.0,30.5,24.5,14.5,7.4,33.1,71.7,16.0,2.1,4.0,1.1,10.2,17.4,25.2,16.1,0.7,10.0,15.3,3.9,37.3
Ohio 11,47.3,28.8,23.8,20.6,11.0,34.9,42.5,43.2,3.0,8.2,1.5,11.8,23.2,27.4,14.2,1.2,7.1,9.6,3.8,88.7
Ohio 12,43.9,32.6,23.5,12.4,11.0,26.6,87.4,3.9,2.1,2.2,1.0,9.7,13.1,20.2,14.8,1.8,10.6,20.1,8.5,12.0
Ohio 13,42.4,31.8,25.8,12.4,6.7,35.3,76.4,11.7,3.5,2.9,1.1,10.8,20.1,28.8,16.9,0.4,9.0,10.9,2.0,60.6
Ohio 14,40.6,32.7,26.8,13.7,7.8,28.2,86.9,5.3,1.0,3.6,1.2,10.4,13.5,21.2,16.3,1.7,11.0,18.3,6.4,22.2
Ohio 15,48.6,31.3,20.0,12.3,9.2,34.3,72.6,12.7,3.8,6.3,1.1,9.3,14.3,23.0,16.9,1.0,11.2,17.8,5.3,20.1
