"November 6, 2018 General Election Official Canvass Ballots Cast",,,,,,,
County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage
Total,,,,,8070917,4496834,55.7165189531747%
Percentage,,,,,,,
Adams,BRATTON TOWNSHIP,AAA,Southwest,Cincinnati,945,543,57.4603174603175%
Adams,BRUSH CREEK TOWNSHIP,AAB,Southwest,Cincinnati,776,377,48.5824742268041%
Adams,LOCUST GROVE,AAD,Southwest,Cincinnati,705,433,61.4184397163121%
Adams,GREEN TOWNSHIP,AAE,Southwest,Cincinnati,416,177,42.5480769230769%
Adams,JEFFERSON TOWNSHIP,AAG,Southwest,Cincinnati,530,255,48.1132075471698%
Adams,LIBERTY TOWNSHIP,AAI,Southwest,Cincinnati,1283,719,56.0405300077942%
Adams,MANCHESTER UNITED TOWNSHIP,AAK,Southwest,Cincinnati,1163,447,38.4350816852966%
Adams,MEIGS TOWNSHIP,AAN,Southwest,Cincinnati,1264,688,54.4303797468354%
Adams,PEEBLES VILLAGE,AAP,Southwest,Cincinnati,1141,512,44.8729184925504%
Adams,MONROE TOWNSHIP,AAR,Southwest,Cincinnati,435,224,51.4942528735632%
Adams,OLIVER TOWNSHIP,AAS,Southwest,Cincinnati,664,331,49.8493975903614%
Adams,SCOTT TOWNSHIP,AAT,Southwest,Cincinnati,714,436,61.0644257703081%
Adams,SEAMAN VILLAGE,AAU,Southwest,Cincinnati,639,297,46.4788732394366%
Adams,SPRIGG TOWNSHIP,AAW,Southwest,Cincinnati,1148,585,50.9581881533101%
Adams,TIFFIN EAST,AAY,Southwest,Cincinnati,726,423,58.2644628099174%
Adams,TIFFIN WEST,AAZ,Southwest,Cincinnati,716,388,54.1899441340782%
Adams,WEST UNION A,ABA,Southwest,Cincinnati,891,456,51.1784511784512%
Adams,WEST UNION B,ABC,Southwest,Cincinnati,880,376,42.7272727272727%
Adams,WAYNE TOWNSHIP,ABE,Southwest,Cincinnati,832,468,56.25%
Adams,WINCHESTER TOWNSHIP,ABG,Southwest,Cincinnati,760,491,64.6052631578947%
Adams,WINCHESTER VILLAGE,ABH,Southwest,Cincinnati,636,334,52.5157232704403%
Allen,DELPHOS 1A,AAA,West,Lima,770,418,54.2857142857143%
Allen,DELPHOS 1B,AAC,West,Lima,591,391,66.1590524534687%
Allen,DELPHOS 2A,AAE,West,Lima,812,341,41.9950738916256%
Allen,DELPHOS 2B,AAG,West,Lima,419,155,36.9928400954654%
Allen,LIMA 1A,AAH,West,Lima,961,388,40.3746097814776%
Allen,LIMA 1B,AAJ,West,Lima,996,403,40.4618473895582%
Allen,LIMA 1C,AAK,West,Lima,975,261,26.7692307692308%
Allen,LIMA 2A,AAO,West,Lima,1146,480,41.8848167539267%
Allen,LIMA 2B,AAP,West,Lima,1084,565,52.1217712177122%
Allen,LIMA 2C,AAQ,West,Lima,1048,487,46.469465648855%
Allen,LIMA 3A,AAW,West,Lima,1081,312,28.8621646623497%
Allen,LIMA 3B,AAX,West,Lima,1079,225,20.852641334569%
Allen,LIMA 3C,AAY,West,Lima,964,321,33.298755186722%
Allen,LIMA 4A,ABE,West,Lima,890,580,65.1685393258427%
Allen,LIMA 4B,ABF,West,Lima,937,339,36.179295624333%
Allen,LIMA 4C,ABH,West,Lima,789,398,50.4435994930292%
Allen,LIMA 4D,ABI,West,Lima,983,570,57.9857578840285%
Allen,LIMA 5A,ABP,West,Lima,691,188,27.2069464544139%
Allen,LIMA 5B,ABQ,West,Lima,809,191,23.6093943139679%
Allen,LIMA 5C,ABR,West,Lima,812,262,32.2660098522168%
Allen,LIMA 5D,ABT,West,Lima,835,311,37.2455089820359%
Allen,LIMA 6A,ABW,West,Lima,1036,368,35.5212355212355%
Allen,LIMA 6B,ABX,West,Lima,1063,300,28.2220131702728%
Allen,LIMA 6C,ABZ,West,Lima,1103,321,29.102447869447%
Allen,LIMA 7A,ACD,West,Lima,1184,580,48.9864864864865%
Allen,LIMA 7B,ACE,West,Lima,1027,492,47.9065238558909%
Allen,LIMA 7C,ACG,West,Lima,1055,539,51.0900473933649%
Allen,AMANDA E,ACT,West,Lima,993,641,64.551863041289%
Allen,AMANDA N,ACU,West,Lima,512,316,61.71875%
Allen,AMERICAN A,ACW,West,Lima,772,490,63.4715025906736%
Allen,AMERICAN B,ACX,West,Lima,736,394,53.5326086956522%
Allen,AMERICAN C,ACY,West,Lima,764,394,51.5706806282723%
Allen,AMERICAN D,ACZ,West,Lima,826,367,44.4309927360775%
Allen,AMERICAN E,ADA,West,Lima,706,314,44.4759206798867%
Allen,AMERICAN F,ADB,West,Lima,581,376,64.7160068846816%
Allen,AMERICAN G,ADC,West,Lima,881,559,63.4506242905789%
Allen,AMERICAN H,ADD,West,Lima,811,525,64.7348951911221%
Allen,AMERICAN I,ADE,West,Lima,712,491,68.9606741573034%
Allen,AMERICAN J,ADF,West,Lima,725,501,69.1034482758621%
Allen,AMERICAN K,ADG,West,Lima,723,384,53.1120331950208%
Allen,AMERICAN L,ADI,West,Lima,711,408,57.3839662447257%
Allen,ELIDA A,ADQ,West,Lima,711,419,58.9310829817159%
Allen,ELIDA B,ADR,West,Lima,685,496,72.4087591240876%
Allen,AUGLAIZE A,ADT,West,Lima,708,422,59.6045197740113%
Allen,HARROD,ADU,West,Lima,271,136,50.1845018450184%
Allen,AUGLAIZE B,ADW,West,Lima,878,534,60.8200455580866%
Allen,BATH A,ADY,West,Lima,676,429,63.4615384615385%
Allen,BATH B,ADZ,West,Lima,728,476,65.3846153846154%
Allen,BATH C,AEA,West,Lima,577,358,62.0450606585789%
